Group,Name,Status,Type,Position X [voxel],Position Y [voxel],Position Z [voxel],Direction X,Direction Y,Direction Z,Normal X,Normal Y,Normal Z,Radius [mm],Conicity [deg],Form [mm],Peak [mm],Valley [mm],Construction method,Image,Focused image,Histogram image,Captures,Coordinate system,Centroid X [voxel],Centroid Y [voxel],Centroid Z [voxel]
n/a,Line 46,Ok,Line,1458,356,115,0.95,-0.32,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1464,353,115
n/a,Line 47,Ok,Line,1890,196,111,0.93,-0.37,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1889,196,111
n/a,Line 48,Ok,Line,1380,246,88,0.75,-0.66,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1393,234,88
n/a,Line 49,Ok,Line,1126,345,7,-0.43,0.90,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1126,345,7
n/a,Line 50,Ok,Line,1296,552,43,0.94,-0.34,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1286,555,43
n/a,Line 51,Ok,Line,712,185,68,-0.38,0.93,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,714,181,68
n/a,Line 52,Ok,Line,749,185,24,-0.25,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,745,198,24
n/a,Line 53,Ok,Line,998,339,29,0.25,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1006,370,28
n/a,Line 54,Ok,Line,788,134,39,0.27,0.96,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,789,135,39
n/a,Line 55,Ok,Line,637,17,55,-0.61,0.79,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,636,18,55
n/a,Line 56,Ok,Line,557,64,45,0.96,0.29,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,554,63,45
n/a,Line 57,Ok,Line,143,188,2,-0.39,0.92,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,147,180,2
n/a,Line 58,Ok,Line,456,313,14,0.97,-0.26,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,450,315,14
n/a,Line 59,Ok,Line,319,418,8,0.95,0.32,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,319,418,8
n/a,Line 60,Ok,Line,242,742,27,-0.09,1.00,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,246,697,28
n/a,Line 61,Ok,Line,412,585,16,-0.25,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,414,577,16
n/a,Line 62,Ok,Line,490,528,12,-0.65,0.76,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,484,535,12
n/a,Line 63,Ok,Line,481,579,7,0.58,0.81,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,484,584,7
n/a,Line 64,Ok,Line,435,597,5,0.95,0.31,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,433,596,5
n/a,Line 65,Ok,Line,486,614,61,0.17,0.99,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,486,612,61
n/a,Line 66,Ok,Line,604,915,35,0.25,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,601,905,35
n/a,Line 67,Ok,Line,371,888,36,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,367,889,36
n/a,Line 68,Ok,Line,46,1762,0,0.99,-0.13,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,43,1762,0
n/a,Line 69,Ok,Line,439,1837,28,0.91,-0.41,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,438,1838,28
n/a,Line 70,Ok,Line,436,1465,8,0.30,0.95,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,435,1462,8
n/a,Line 71,Ok,Line,379,1385,50,0.94,0.35,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,369,1381,49
n/a,Line 72,Ok,Line,613,1085,8,0.72,-0.69,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,600,1098,9
n/a,Line 73,Ok,Line,752,1097,41,0.86,-0.52,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,755,1095,41
n/a,Line 74,Ok,Line,927,1290,26,0.74,-0.68,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,928,1289,26
n/a,Line 75,Ok,Line,839,806,46,0.95,0.30,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,839,806,46
n/a,Line 76,Ok,Line,545,725,82,1.00,-0.01,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,525,725,82
n/a,Line 77,Ok,Line,683,584,10,0.25,0.97,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,681,578,10
n/a,Line 78,Ok,Line,26,1645,5,-0.48,0.87,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,27,1643,5
n/a,Line 79,Ok,Line,381,1297,39,0.88,-0.48,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,384,1295,39
n/a,Line 80,Ok,Line,439,1185,83,0.99,-0.17,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,408,1190,83
n/a,Line 81,Ok,Line,831,1113,77,0.98,-0.19,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,837,1112,77
n/a,Line 82,Ok,Line,1225,1158,4,-0.50,0.87,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1223,1162,4
n/a,Line 83,Ok,Line,1522,1031,56,0.94,0.34,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1516,1029,56
n/a,Line 84,Ok,Line,1321,961,53,0.95,0.32,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1313,958,53
n/a,Line 85,Ok,Line,818,766,118,0.98,-0.21,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,813,767,118
n/a,Line 86,Ok,Line,420,833,13,0.88,-0.47,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,491,795,15
n/a,Line 87,Ok,Line,179,418,42,0.97,0.25,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,172,416,42
n/a,Line 88,Ok,Line,98,1344,8,-0.31,0.95,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,96,1349,8
n/a,Line 89,Ok,Line,976,1221,53,0.98,-0.19,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,960,1224,53
n/a,Line 90,Ok,Line,745,780,67,0.16,0.99,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,766,908,68
n/a,Line 91,Ok,Line,1116,646,1,0.99,-0.15,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1114,647,1
n/a,Line 92,Ok,Line,1237,308,6,0.93,-0.37,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1238,308,6
n/a,Line 93,Ok,Line,283,1114,44,1.00,0.01,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,283,1114,44
n/a,Line 94,Ok,Line,30,1025,39,0.27,0.96,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,29,1019,39
n/a,Line 95,Ok,Line,755,1990,2,-0.46,0.89,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,753,1993,2
n/a,Line 96,Ok,Line,1650,875,48,0.69,0.73,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1652,877,48
n/a,Line 97,Ok,Line,1684,1384,20,0.90,-0.44,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1686,1383,20
n/a,Line 98,Ok,Line,877,1752,3,0.88,-0.47,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,882,1750,3
n/a,Line 99,Ok,Line,859,1828,12,0.94,0.35,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,863,1830,12
n/a,Line 100,Ok,Line,761,1757,25,0.80,-0.60,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,763,1756,25
n/a,Line 101,Ok,Line,650,1831,14,0.97,0.26,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,652,1831,14
n/a,Line 102,Ok,Line,728,1863,26,0.94,0.34,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,731,1864,26
n/a,Line 103,Ok,Line,801,1866,10,-0.12,0.99,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,800,1875,10
n/a,Line 104,Ok,Line,659,1869,6,0.88,-0.47,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,659,1869,6
n/a,Line 105,Ok,Line,561,1920,8,0.89,-0.46,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,563,1919,8
n/a,Line 106,Ok,Line,646,1550,27,0.47,0.88,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,651,1559,27
n/a,Line 107,Ok,Line,648,1685,121,0.99,-0.14,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,648,1685,121
n/a,Line 108,Ok,Line,643,1671,29,0.81,-0.59,0.05,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,643,1672,29
n/a,Line 109,Ok,Line,556,1786,26,0.90,-0.43,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,553,1787,26
n/a,Line 110,Ok,Line,710,1720,19,0.78,-0.63,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,711,1719,19
n/a,Line 111,Ok,Line,698,1719,21,0.91,-0.42,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,694,1721,21
n/a,Line 112,Ok,Line,840,1669,13,0.92,-0.40,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,840,1669,13
n/a,Line 113,Ok,Line,796,1575,50,0.26,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,805,1606,51
n/a,Line 114,Ok,Line,858,1647,14,0.89,-0.46,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,861,1646,14
n/a,Line 115,Ok,Line,1084,1494,32,-0.37,0.93,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1082,1499,32
n/a,Line 116,Ok,Line,1033,1625,31,-0.38,0.93,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1034,1622,31
n/a,Line 117,Ok,Line,975,1609,7,0.89,-0.46,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,976,1609,7
n/a,Line 118,Ok,Line,998,1646,49,0.41,0.91,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,999,1648,49
n/a,Line 119,Ok,Line,904,1643,10,0.90,-0.43,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,906,1642,10
n/a,Line 120,Ok,Line,949,1336,52,0.10,0.99,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,954,1384,51
n/a,Line 121,Ok,Line,997,1225,84,0.68,0.73,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,999,1227,84
n/a,Line 122,Ok,Line,1127,1098,44,-0.38,0.92,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1128,1097,44
