Group,Name,Status,Type,Position X [voxel],Position Y [voxel],Position Z [voxel],Direction X,Direction Y,Direction Z,Normal X,Normal Y,Normal Z,Radius [mm],Conicity [deg],Form [mm],Peak [mm],Valley [mm],Construction method,Image,Focused image,Histogram image,Captures,Coordinate system,Centroid X [voxel],Centroid Y [voxel],Centroid Z [voxel]
n/a,Line 139,Ok,Line,968,1122,34,0.93,-0.36,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,972,1120,34
n/a,Line 140,Ok,Line,993,1023,49,0.25,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,984,991,49
n/a,Line 141,Ok,Line,427,1147,28,0.46,0.89,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,434,1162,28
n/a,Line 142,Ok,Line,329,1282,16,-0.46,0.89,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,329,1282,16
n/a,Line 143,Ok,Line,1756,1105,1,0.93,0.37,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1756,1105,1
n/a,Line 144,Ok,Line,2023,918,105,0.99,-0.14,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2027,917,105
n/a,Line 145,Ok,Line,1913,934,107,0.99,-0.14,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1921,933,107
n/a,Line 146,Ok,Line,1794,953,108,0.99,-0.17,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1796,952,108
n/a,Line 147,Ok,Line,1698,969,111,0.98,-0.18,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1699,969,111
n/a,Line 148,Ok,Line,1464,617,51,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1432,623,52
n/a,Line 149,Ok,Line,1883,543,47,0.99,-0.16,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1878,543,47
n/a,Line 150,Ok,Line,2030,467,0,0.78,0.63,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2030,467,0
n/a,Line 151,Ok,Line,1853,340,3,0.36,0.93,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1853,339,3
n/a,Line 152,Ok,Line,1883,394,82,0.77,-0.64,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1882,395,82
n/a,Line 153,Ok,Line,2021,299,13,0.37,0.93,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2021,300,13
n/a,Line 154,Ok,Line,1976,161,9,0.24,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1977,163,9
n/a,Line 155,Ok,Line,2022,357,0,0.92,0.40,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2024,357,0
n/a,Line 156,Ok,Line,1546,170,35,-0.43,0.90,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1549,164,35
n/a,Line 157,Ok,Line,1430,416,37,-0.42,0.91,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1431,413,37
n/a,Line 158,Ok,Line,1311,677,39,-0.41,0.91,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1311,676,39
n/a,Line 159,Ok,Line,1416,699,24,0.97,0.23,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1425,701,24
n/a,Line 160,Ok,Line,1259,771,2,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1270,769,2
n/a,Line 161,Ok,Line,1243,927,43,-0.37,0.93,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1252,902,44
n/a,Line 162,Ok,Line,1061,969,3,-0.36,0.93,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1071,942,3
n/a,Line 163,Ok,Line,832,840,19,-0.64,0.77,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,844,826,19
n/a,Line 164,Ok,Line,527,907,12,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,529,906,12
n/a,Line 165,Ok,Line,484,887,9,0.92,-0.38,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,485,887,9
n/a,Line 166,Ok,Line,293,913,36,0.75,-0.66,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,292,914,36
n/a,Line 167,Ok,Line,97,1084,15,0.38,0.92,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,96,1083,15
n/a,Line 168,Ok,Line,592,1103,120,0.95,0.30,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,597,1104,120
n/a,Line 169,Ok,Line,553,1223,13,0.55,0.84,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,552,1222,13
n/a,Line 170,Ok,Line,445,1554,38,0.97,0.23,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,449,1555,38
n/a,Line 171,Ok,Line,352,1553,72,0.97,-0.23,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,382,1545,73
n/a,Line 172,Ok,Line,121,1372,1,-0.45,0.89,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,95,1423,1
n/a,Line 173,Ok,Line,18,1303,0,0.85,-0.52,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,18,1303,0
n/a,Line 174,Ok,Line,96,1690,37,0.99,0.13,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,97,1690,37
n/a,Line 175,Ok,Line,294,1487,8,0.24,0.97,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,296,1495,8
n/a,Line 176,Ok,Line,262,1415,56,0.21,0.98,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,267,1437,56
n/a,Line 177,Ok,Line,314,1557,13,0.06,1.00,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,315,1577,12
n/a,Line 178,Ok,Line,333,1840,4,0.04,1.00,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,333,1837,4
n/a,Line 179,Ok,Line,167,1606,136,-0.14,0.99,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,166,1611,136
n/a,Line 180,Ok,Line,436,1462,10,0.31,0.95,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,432,1451,10
n/a,Line 181,Ok,Line,679,636,122,0.94,-0.35,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,682,634,122
n/a,Line 182,Ok,Line,1104,606,11,0.99,0.16,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1099,605,11
n/a,Line 183,Ok,Line,809,558,4,0.99,0.16,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,818,560,4
n/a,Line 184,Ok,Line,974,846,38,0.25,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,975,847,38
n/a,Line 185,Ok,Line,739,1327,31,0.33,0.95,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,749,1354,31
n/a,Line 186,Ok,Line,1134,1314,11,-0.50,0.86,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1133,1314,11
n/a,Line 187,Ok,Line,1914,1649,92,0.23,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1915,1651,92
n/a,Line 188,Ok,Line,702,922,5,-0.39,0.92,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,705,914,5
n/a,Line 189,Ok,Line,370,650,10,1.00,0.09,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,373,650,10
n/a,Line 190,Ok,Line,387,473,30,0.27,0.96,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,387,476,30
n/a,Line 191,Ok,Line,62,658,11,0.96,0.29,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,65,659,11
n/a,Line 192,Ok,Line,151,478,11,-0.57,0.82,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,167,455,11
n/a,Line 193,Ok,Line,49,172,10,-0.23,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,56,141,9
n/a,Line 194,Ok,Line,549,385,16,0.98,-0.20,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,536,387,16
n/a,Line 195,Ok,Line,736,362,60,0.98,-0.21,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,748,360,60
n/a,Line 196,Ok,Line,728,380,18,0.72,-0.69,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,737,371,18
n/a,Line 197,Ok,Line,519,611,27,-0.59,0.81,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,532,593,26
n/a,Line 198,Ok,Line,750,182,27,-0.24,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,749,185,27
n/a,Line 199,Ok,Line,638,16,57,-0.64,0.77,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,639,14,57
n/a,Line 200,Ok,Line,974,174,7,-0.26,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,972,180,7
n/a,Line 201,Ok,Line,1064,68,6,0.74,-0.67,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1063,68,6
n/a,Line 202,Ok,Line,1158,28,77,0.94,-0.33,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1162,27,77
n/a,Line 203,Ok,Line,312,90,8,0.91,0.42,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,307,87,8
n/a,Line 204,Ok,Line,181,1311,21,-0.16,0.99,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,182,1301,22
n/a,Line 205,Ok,Line,214,1307,25,0.22,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,215,1311,25
n/a,Line 206,Ok,Line,1929,1192,70,-0.16,0.99,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1929,1192,70
n/a,Line 207,Ok,Line,1519,1030,60,0.94,0.33,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1528,1033,60
n/a,Line 208,Ok,Line,1639,1600,61,0.94,0.35,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1636,1599,61
n/a,Line 209,Ok,Line,1862,738,11,1.00,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1865,738,12
n/a,Line 210,Ok,Line,1956,771,138,0.75,-0.66,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1957,771,138
n/a,Line 211,Ok,Line,1967,882,48,0.76,-0.65,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1976,875,49
n/a,Line 212,Ok,Line,2007,1072,104,0.11,0.99,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2007,1074,104
n/a,Line 213,Ok,Line,701,962,14,0.25,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,698,947,14
n/a,Line 214,Ok,Line,753,1097,44,0.85,-0.53,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,762,1091,44
n/a,Line 215,Ok,Line,720,1133,82,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,783,1121,81
n/a,Line 216,Ok,Line,766,946,21,-0.25,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,765,949,21
n/a,Line 217,Ok,Line,806,651,57,-0.25,0.97,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,806,650,57
n/a,Line 218,Ok,Line,605,911,39,0.25,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,608,921,39
n/a,Line 219,Ok,Line,543,726,85,1.00,-0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,547,726,85
n/a,Line 220,Ok,Line,414,585,19,-0.25,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,408,609,20
n/a,Line 221,Ok,Line,498,602,9,0.58,0.82,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,505,612,10
n/a,Line 222,Ok,Line,462,312,15,0.97,-0.25,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,453,315,15
n/a,Line 223,Ok,Line,713,1024,65,-0.24,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,706,1051,65
n/a,Line 224,Ok,Line,924,1231,57,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,933,1229,57
n/a,Line 225,Ok,Line,1186,967,10,0.23,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1191,991,10
n/a,Line 226,Ok,Line,1302,550,47,0.94,-0.34,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1296,552,48
n/a,Line 227,Ok,Line,1317,322,8,0.97,-0.26,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1336,317,9
n/a,Line 228,Ok,Line,1402,84,3,-0.30,0.95,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1405,76,3
n/a,Line 229,Ok,Line,2038,36,7,0.36,0.93,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2038,36,7
